,id,country,province,winery,variety,points,description
42605,61704,Italy,Veneto,Pieropan,Red Blend,93,enticing aromas crushed cherry mature plum pepper blue flower tilled earth lead vibrant full bodied blackberry clove espresso pepper back palate alongside firm ends licorice
153213,122312,US,California,Armida,Chardonnay,89,tropical comprise chardonnay armida better efforts showing flashy mango buttered toast mineral bright spicy
203966,223065,US,California,Summerland,Chardonnay,87,soft direct appeals pineapples buttered toast cinnamon smoke shows firm minerality core
106202,175301,Australia,Western Australia,Cullen,Bordeaux-style Red Blend,90,cullen diana madeline amazingly consistent continues tradition maybe touch fuller bodied rounder maintains sense restraint timeless blend tobacco cedar cassis finishing flourish mint
95602,164701,France,Burgundy,Albert Bichot,Pinot Noir,89,broad packed dense full bodied qualities derived warm vineyard shows juicy
270360,39459,US,California,Summers,Cabernet Sauvignon,93,lush opulent cabernet drinking shows classic napa structure firm fine housing blackberries currants cassis herbs touched smoky
85257,154356,US,New York,Bloomer Creek,Riesling,90,buoyantly aromatic fresh wildflowers preserved apricots honey riesling made tiny single vineyard crop balances elegant crushed stone stonefruit focused stark orange peel astringency balanced elegantly structured finishes long meandering orange inflected
95234,164333,US,Virginia,Rockgarden,Bordeaux-style Red Blend,85,bordeaux style blend merlot cabernet franc cabernet sauvignon offers trio plum leather char aromas feels slack broad entrance fine strike midpalate sense muscularity raspberry surfaces bright
242333,11432,US,Oregon,Rex Hill,Pinot Noir,91,roserock cuvée notably dark concentrated loads cherry spicy saturated luscious mocha fine example vintage ready enjoy immediately
219301,238400,New Zealand,Marlborough,Goose Bay,Chardonnay,86,full bodied chard offering plenty intensity character aromas citrus apple pear melon lead richer grilled peaches filling mouth weighty texture finishes clean long
13021,263021,US,California,Temptation,Zinfandel,86,feral less form zinfandel green peppercorn sage wild raspberry cherry blackberry fully crisply tannic food wake alexander valley vineyards
63866,82965,US,California,Seven Heavenly Chards,Chardonnay,86,white sister seven deadly zins lusciously sinful tasting vanilla marshmallow movie theater popcorn creamy finishes swath green apple
8376,258376,US,California,Navarro,Riesling,93,bottling usually among opulent successful white dessert wines california certainly fits bill residual sugar fantastically sweet fruity stuffing balanced high satisfy pineapple apricot orange somewhat intense certainly delicious dessert
69250,88349,US,Washington,:Nota Bene,Bordeaux-style Red Blend,90,three fifths cabernet sauvignon rest split cabernet franc merlot supple forward plummy pleasing touches cinnamon spice
30046,280046,South Africa,Durbanville,Nitída,Bordeaux-style Red Blend,87,blend almost equal parts merlot franc sauvignon cassis tobacco translate mouth adding spicy earth tart berry palate solid back picks lemony imported global vineyard importers
39273,58372,US,California,Sanguis,Red Blend,95,sanguis combines signature exceptional power finesse producing dramatic defy belief syrah cabernet sauvignon provide blackberry chocolate richness viognier brings bright floral roussanne something orange tartness evident perfectly balance volume stunning dramatic ager
62558,81657,Chile,Casablanca Valley,Undurraga,Sauvignon Blanc,89,casablanca opens crisp capped aromas ocean foam citrus green herbs true form mouth citrusy zest citrus green herbs focused pithy fresh crisp tastes lime thyme
65971,85070,US,Washington,Waterbrook,Sauvignon Blanc,89,sourced excellent yakima valley sites fermented stainless steel ripened perfectly alcohol juicy fresh laden captures ideal snappy citrus luscious stone fruits delicious
206210,225309,Germany,Mosel-Saar-Ruwer,Dr. Wagner,Riesling,90,goldkap especially lush botrytized instead features fine balance enlivens green apple citrus extra poignancy crisply balanced mouthwatering
230566,249665,Italy,Tuscany,Mazzei,Red Blend,94,love tones chocolate leather berry cassis vanilla aromas backed dense extraction smooth softness
173043,142142,US,Washington,Maryhill,Cabernet Sauvignon,87,varietal blue vanilla herb aromas followed abundant cherry lightly backing plays prominent role
248182,17281,France,Burgundy,Domaine Drouhin-Laroze,Pinot Noir,94,powerful fruity shows cherry spice structured solid complete tannin packed definitely long term aging
238853,7952,Italy,Tuscany,Fattoria Fibbiano,Red Blend,88,vibrant lively sweet portfolio aromas including spice rose milk chocolate almond modern upfront terms delivery chewy succulent bite fruity slightly sweet ends bright cheerful
178520,147619,US,Washington,Snoqualmie,Syrah,83,vintage rough ride washington michelle generously shared vineyards escaped freeze senses snoqualmie drew short straw reserve wines quality outstanding value producer shown past reserve quality stretch imagination light watery vegetal
128753,197852,US,Oregon,Airlie,Riesling,86,light citrus blossom scents gentle pleasing palate like simple german kabinett cooler vintage
244796,13895,US,California,Oak Farm,Zinfandel,91,wraps intense delicious plush tannic texture hard glass blackberry cherry taste pure concentrated seeming gain intensity linger smacking intensity
181099,200198,France,Burgundy,Joseph Drouhin,Chardonnay,89,intensely fruity layers fresh peaches grilled traces roasted nuts vanilla smoke making pleasurable complex experience expansive textured mouth quibble falls away quickly imported dreyfus ashby
254967,24066,US,California,Château Julien,Merlot,85,blackberries currants prunes elaborations lacking structure depth interest
265667,34766,US,California,Zilaro Cellars,Pinot Noir,86,must challenging grow pinot noir warm region bottling shows promise raspberry lingers behind tarry rubber olives scents palate blends bitter sour spice trending toward forest floor style pine sauce seared fruits
63560,82659,US,Washington,Dusted Valley,Cabernet Sauvignon,91,bright tart spicy plenty grip detail threads herb stem earth substantial blackberry cassis woven together penetrating punchy
118337,187436,Australia,Australia Other,Tyrrell's,Chardonnay,86,medium bodied chardonnay features ample apple pear pineapple comes across pleasant mouthfilling dimensional represents reasonable value
60859,79958,Italy,Veneto,Cescon Italo Storia e Vini,Red Blend,87,inky blend cabernet sauvignon merlot delivers thick impenetrable appearance jammy blackberry preserves maraschino cherry presents chewy succulent overdone heavy close
106316,175415,New Zealand,Central Otago,Paritua,Riesling,84,medium bodied residual sugar riesling paritua displays interesting offbeat aromas almost salty beefy nature traditional lime
196342,215441,US,California,Byron,Chardonnay,94,dominates barrel fermented chardonnay giving vanilla crème brûlée buttered toast marry pineapple pear tart overall impression flashy elaborate grapes highly regarded nielson vineyard
70571,89670,US,Oregon,Harry & David,Pinot Noir,84,traces light cherry quickly thin dilute marginally riper reserve pinot noir
210150,229249,US,California,Hunnicutt,Cabernet Sauvignon,93,superbly gorgeous blackberry crème cassis toasted defines modern style cabernet tannic richness tempt away
94980,164079,US,California,Arrow Creek,Chardonnay,84,modest orange peach found tinged offers chardonnay lover pleasure
136377,105476,US,California,Senses,Pinot Noir,90,smooth delicious vibrant cherry raspberry aromas mouthfilling supple texture generous aged french seems build intensify palate linger
246753,15852,US,Oregon,Alloro,Pinot Noir,96,extra dollop toasty amplifies deep cherry core cedar pipe tobacco espresso dark chocolate highlights wrap around power precision exceptional detail
108689,177788,US,Washington,Robert Karl,Syrah,91,beautiful syrah sappy bold precise airing decanting fully open bright berry broad swath coffee olive trace mint smooth satiny satisfying lengthy adds vanilla dried herb
72952,92051,France,Languedoc-Roussillon,Michel Laroche,Merlot,82,michel laroche branching chablis recent southern french effort chlorine aromas mint sweet wood power suppleness match palate pulsates dark sharp burnt
2821,252821,France,Burgundy,Faiveley,Chardonnay,87,apple fresh attractive crisp texture green apple skins followed firm tight mouthfeel fine mineral edge taut
35370,54469,US,California,Churchill Cellars,Pinot Noir,88,churchill makes pinots lighter bodied style elegant complex translucent silky mouth raspberry cherry cola enhanced brisk best now–
44240,63339,US,America,Great American Wine Company,Zinfandel,84,meant capture american spirit grapes grown across america lacks distinct personality tease blackberry spice characteristic variety somewhat reduced generic
102098,171197,Argentina,Mendoza Province,Finca El Portillo,Chardonnay,82,amid innocuous aromas apple green banana whiff dust radiator palate dilute lacking structure pineapple mealy apple green akin herbs lettuce
76235,95334,US,California,Larner,Syrah,91,lower priced bottling fantastic showing elderberry peppercorns incense classic touches asphalt lavender thyme sagebrush palate spicing core elderberry cassis white pepper complete experience
270386,39485,France,Rhône Valley,Vidal-Fleury,Syrah,90,floral cherry accented thyme leaf harmonious mélange herb spice full bodied slightly chewy first turning velvety now–
235515,4614,US,New York,Highland Cellars,Riesling,87,late release riesling seneca lake wafts delicate perfume sweet peas stonefruits petrol undertone touch white peach sweetness refreshing lime juice high toned keep refreshing brisk
258498,27597,France,Burgundy,Domaine Christian Moreau Père et Fils,Chardonnay,96,vines inside clos grand purchased hospices chablis richly structured dense layers great aging potential wood smoky calming impressive long lived
178462,147561,Argentina,Mendoza Province,Nieto Senetiner,Cabernet Sauvignon,85,wood forced overall heavy full fruited personality depth ripeness blackberry dark plum cassis earnest tannic varietal
78237,97336,Australia,South Australia,Bowen Estate,Cabernet Sauvignon,88,coonawarra dark earthy herbal tobacco marrying coffee herb firmly built full bodied cellar develop greater textural richness
13986,263986,US,California,Tres Sabores,Cabernet Sauvignon,89,quite cabernet marked noble structure deep core cherries currants cedar astringent best
237505,6604,US,California,Williams Selyem,Pinot Noir,86,pale color tart pinot thin side wise offers blast asian spices mint suggestions cherries citrus zest pepper elegant
47292,66391,US,Oregon,Abacela,Syrah,90,intense spicy richly fruity already meaty bloody gamy really hits mark variety acids weight balance sexy long concentrated shows extracted berry layers mineral earth barest roasted barrel
63350,82449,France,Champagne,Delamotte,Chardonnay,92,based mesnil oger producer specializes chardonnay blanc blancs nonvintage fine expression style full minerality softened grand vineyards delicate subtly fruity enticing floral character
11209,261209,New Zealand,Martinborough,Te Kairanga,Chardonnay,91,restrained regular chardonnay greater depth richness texture casarina reserve chardonnay selection older vines mainly mendoza clone subtle popcorn cereal grain elegance melon finishing crisp acids balance weight
194486,213585,New Zealand,Hawke's Bay,Craggy Range,Syrah,93,full bodied creamy texture long complete package blackberry accented cracked pepper vanilla closer examination reveals olive coffee exquisitely silky comes fore now–
90257,159356,France,Burgundy,L. Tramier & Fils,Pinot Noir,86,slopes high hillside beaune soft fruity smoky richer berry broaden makes fresh fruity ready
189625,208724,US,California,Klinker Brick,Syrah,87,syrah california lovers heavy brimming dark cherry amid wall leather earth
25893,275893,Argentina,Mendoza Province,Luigi Bosca,Cabernet Sauvignon,88,starts sort soft modest aromas mouth raspberry cherry quick lift grabby firm baby hits groove onto defined starchy feel long lasting cabernet essence airing best friend decant
9939,259939,US,California,Girard,Zinfandel,90,warm vineyards eastern vaca mountains quarter petite sirah ultrarich smooth blackberry cassis raspberry mocha complex dash provençal herbs quite made style balanced merlot
126940,196039,US,California,De Loach,Chardonnay,92,pure fresh clean chardonnay tropical pear green apple smoky balanced shows brisk citrusy firm stream minerals
165552,134651,France,Bordeaux,Château Haut Barrail,Bordeaux-style Red Blend,85,strong wood aromas mark shot wood aging spice smoky toast evident blackberry balance merlot dominated
234484,3583,Germany,Mosel,Bastgen,Riesling,89,earthy pollen accent robust yellow peach quince medium sweet kabinett fine brisk texture scintillating lend lacy fragile feel palate lingers sweetly
153825,122924,Argentina,Mendoza Province,Viejo Isaias,Sauvignon Blanc,83,flat fruitless front smells like haystack plump palate sense grape skins mouthfeel tastes yeasty mildly bitter nonspecific white fruits
46613,65712,Italy,Central Italy,Decugnano dei Barbi,Red Blend,87,blend merlot sangiovese cabernet sauvignon offers aromas alongside toasted sensations espresso drinking enjoyable style delivers juicy plum blackberry spice alongside velvety
136550,105649,France,Burgundy,Maison Jessiaume,Chardonnay,93,appropriately full toasty dense beautifully balanced touch spice citrus opulent full bodied character certainly already drinkable
272283,41382,US,Washington,Cerulean,Pinot Noir,86,rugged dark meaty version pinot noir look elegance finesse showing musky plum background underbrush ample tasty though lacking varietal specificity
33892,52991,US,California,Waxwing,Pinot Noir,91,delicious approachable hard raspberry cherry vineyard petaluma whose cool climate lends dryness alcohol brisk cost richness
53383,72482,France,Burgundy,Domaines Devillard,Pinot Noir,85,light fruity fresh berry intense youthful lending crisp texture soft ready months calmed
102702,171801,US,California,Transcendence,Pinot Noir,85,tastes underripe green joins cherry cranberry tart decanted consumed
45347,64446,Italy,Veneto,Montresor,Red Blend,90,offers aromas candied cherry cake spice charred earth cured meat whiff underbrush palate vanilla pepper accent chocolate covered cherry raspberry raisin accompanied velvety
46957,66056,France,Bordeaux,Barton & Guestier,Bordeaux-style Red Blend,86,initially serious structured subsequently rounds always keeps firm structure vintage wood aging plus currant freshness tight
124488,193587,US,California,Groth,Sauvignon Blanc,90,quite delicious sauvignon notable balance elegance everything understated like fine tailoring food friendly citrus zest lemondrop figs melons spicy green apples totally
158210,127309,Germany,Mosel,C.H. Berres,Riesling,92,tropical mango guava racy lime lemon intensely full bodied riesling palate lush weighty smoky mineral character lends elegance complexity
200036,219135,US,California,Big House,Cabernet Sauvignon,85,thin clean properly varietal blackberry cassis spicy bucks less
192600,211699,Argentina,Other,Bodegas El Porvenir De Los Andes,Red Blend,85,characteristic salta initial patented leafy earthy roasted aromas subsequent entrance brash grabby nutty roasted baked berry toffee coffee earth
27910,277910,Italy,Sicily & Sardinia,Feudo Arancio,Chardonnay,85,chard rest sees stainless boasts plump appealing texture scents pear citrus brings peachy turns tangy fresh folding orange lemon
125000,194099,Argentina,Mendoza Province,Mendel,Bordeaux-style Red Blend,92,unus malbec cabernet sauvignon excellent features blend tobacco baked plum leather palate saturated concentrated tastes cassis blackberry clean intense complex
66426,85525,US,California,Piña,Cabernet Sauvignon,93,silky smooth surround foundation herb cherry plum integrated thicker richer elements tobacco smoke chocolate made varietal offers exuberance elegance
210367,229466,New Zealand,Marlborough,Otto's Constant Dream,Pinot Noir,88,complex price range slightly stemmy leaves berries medium bodied silky texture berry zinger citrus zest finishing crisp lingering
139548,108647,Italy,Tuscany,Tenuta San Guido,Red Blend,97,supremely elegant worthy sassicaia opens intense bouquet cherry mediterranean herbs blue flower cedar leather aromas powerful graceful palate delivers vibrant core cherry accented white pepper mineral balsamic alongside youthful polished vibrant exuberant counterparts outlive bolgheri
227517,246616,US,California,Corley,Cabernet Sauvignon,93,corley builds reserve long haul tannic enjoy numbing palate astringency great depth judge wealth currant accented cellar puppy least prime
39207,58306,US,California,Goldeneye,Pinot Noir,91,full bodied pinot noir showing lavish aromas medium deep ruby tone aromas suggesting vanilla toasted nutmeg rhubarb recall cherry blackberry gradually recede lively character comes lingering
41829,60928,France,Bordeaux,Château Cambon la Pelouse,Bordeaux-style Red Blend,91,strictly part haut médoc château cambon pelouse small parcel margaux ownership vinification weight solid wood adding polish dominating structured medium term aging
212948,232047,US,California,Pacific Ridge,Bordeaux-style Red Blend,91,merlot cabernet blend helena oakville currants cherries stronger average gooey cult peppery astringency suggesting modest aging
262858,31957,US,Washington,L'Ecole No. 41,Merlot,93,ecole three partners seven hills vineyard sources grapes oldest vines blend includes cabernet sauvignon cabernet franc tight spicy first opening deeply flavored brambly vivid berry stone firm anchor solidly overall structure suggests least decade maybe
114843,183942,France,Burgundy,Joseph Faiveley,Chardonnay,84,heavily wooded toastiness feel weight white fruits wood imported wilson daniels
73295,92394,France,Bordeaux,Château Haut Bages Libéral,Bordeaux-style Red Blend,87,pleasant dark edges berries rough focus shaded developing
61199,80298,US,Washington,Genoa,Merlot,88,vanilla coconut shavings earth dark aromas followed full bodied barrel delivers enjoyment variety seems lost
20133,270133,Chile,Curicó Valley,Viñedos de Canata,Merlot,81,vinegar horseradish plum palate exceedingly lean snappy raspberry fade fast arrive overall devoid richness
264323,33422,US,California,Jaxon Keys,Zinfandel,88,bold taste profile port sweet full bodied deeper usual color concentrated point overripeness palate like blackberry syrup dark chocolate perfect dinner
151647,120746,New Zealand,Marlborough,Sacred Hill,Pinot Noir,86,holy grail producers remains drinkable pinot noir less lacks midpalate weight richness offer earthy beet root mushroom couched appropriately silky texture
237452,6551,US,California,Clos du Lac,Sauvignon Blanc,85,bowl aromas fresh neutral fairly soft texture light bodied pleasant
117765,186864,Italy,Tuscany,Triacca,Red Blend,87,blend cabernet sangiovese features aromas cherry toast maple syrup spice boast thick seemingly impenetrable extraction dense chewy mouthfeel
65391,84490,US,Washington,Chateau Ste. Michelle,Cabernet Sauvignon,90,aromas barrel spice vanilla dill blue bright focused plum barrel depth sense texture lingering typically cabernet offers appeal
252626,21725,US,Washington,Mark Ryan,Bordeaux-style Red Blend,95,first blended though labeled reserve vintage amazing depth running litany fruits veins earth tannin graphite finishing densely textured barrel toast coffee bitter chocolate beautifully proportioned deep cellarworthy
148719,117818,France,Loire Valley,Jean-Max Roger,Sauvignon Blanc,86,soft attractive peach pear fruits lively shot lemon rounded ready
54716,73815,US,California,Savannah-Chanelle,Pinot Noir,86,pale color light body neither thing delicacy pinot noir drawback candied simplicity lifesaver cherries raspberries
119144,188243,US,America,Arizona Stronghold,Cabernet Sauvignon,88,alluring pastry dough spiced blackberry strawberry flavored leather carry onto succulent medium full bodied palate firm bolster nutty herbal concludes textured
70416,89515,Spain,Central Spain,Marques de Griñon,Cabernet Sauvignon,84,bears similarities petit verdot sibling reviewed realized berry wears sourness showing green quality detracts slightly weightier stable mate lags behind finesse
67030,86129,Austria,Niederösterreich,Familie Zull,Red Blend,90,plump immediately evident plum cherry forest berries touch licorice cinnamon spice palate mellow supple brimming uncomplicated juicy freshness provides balance verve
164521,133620,France,Alsace,Domaine Gresser,Riesling,94,reminiscent yellow aromatic peel apples touch mirabelle palate continues driven vein pure tart apple seems feature alsace riesling palate fine boned structure almost crunches mouth pure lemon makes clean
245436,14535,France,Burgundy,Chanson Père et Fils,Chardonnay,84,toast yeast character edge bitterness smooth melon lightly burnt character masks fruitiness
79491,98590,France,Alsace,Boeckel,Riesling,92,textured full character full fragrant apple quince tightly layered concentrated dense character heart
266112,35211,US,California,Lorenzi Estate,Red Blend,91,truly complex layered style deep socal blend syrah cabernet sauvignon merlot cabernet franc petite sirah brings aromas smoked chocolate smashed strawberries dried rose petals oregano palate bursts cherry blackberry settles smoked meats dried dill
52657,71756,US,Oregon,Tumwater,Pinot Noir,90,astringent mineral soaked gathers around tart raspberry youthful compact shows trace aged seems likely improvement additional bottle softening
43944,63043,US,California,Markham,Merlot,85,soft simple charm cherry blueberry bite everyday merlot suggests pairing beef lamb dishes
81993,151092,France,Bordeaux,Domaine de Chevalier,Bordeaux-style Red Blend,92,barrel sample concentrated match sweet shows structure density blackberry already showing
275099,44198,US,California,Ty Caton,Syrah,87,dark concentrated jammy doughy biscuits heavier side structured tannic sizable require sizable pairings tame strength
179690,148789,US,California,Hahn,Chardonnay,85,crisp pineapple enriched loses points however certain vegetal character compounded starting fall
225105,244204,US,California,Canepa,Chardonnay,89,helen turley chardonnay shows complexity particularly nuanced oriental spice tobacco nectarine floral yellow aromas play senses palate mild balanced melon stone smooth texture boot touch heat shows long spicy
237954,7053,Argentina,Mendoza Province,Luis Segundo Correas,Cabernet Sauvignon,84,grassy herbal aromas rest basic feels choppy hollow buttery chemical currant body padding
6148,256148,US,California,Tom Eddy,Cabernet Sauvignon,92,eight cabernet losing primary blackberries cherries currants drying developing secondary characteristics aged soft gentle interesting grip develop additional bottle complexity coming
25617,275617,US,Washington,Maryhill,Syrah,89,made shows important producer rise challenge retains focus varietal character authoritative smoky smells like syrah follows firm supple floral citrus herbal olive underpinnings ripe—not roasted—fruit mark
175340,144439,US,California,Villa Hermosa Cellars,Cabernet Sauvignon,87,tastes angular hard blackcurrant busting astringency showing appeal howell mountain attain bottle complexity
69922,89021,US,California,Joseph Swan Vineyards,Zinfandel,90,subdued delicately offers understated notions leather chocolate blackberry bramble electric undercurrent fresh squeezed citrus light bright study holding back complexity core
247316,16415,US,Virginia,Chateau Morrisette,Cabernet Sauvignon,87,delectable pastry spice blackberry vanilla unfurl onto medium bodied palate bolstered sinewy finessed acids
77652,96751,France,Alsace,Biecher & Schaal,Riesling,88,complex touch sweetness allowing ready sooner structure strong minerality floral fragrant character wait full effect
43143,62242,Germany,Mosel,Joh. Jos. Prüm,Riesling,90,light bodied lithe fruity flashy brethren vintage instead offers mineral complexity slightly buffered apples stone long citrusy cellar blossom another
126678,195777,Italy,Northeastern Italy,Petrussa,Chardonnay,88,petrussa aged chardonnay drinking young seems tight firm mouth unwind months deliver intense exotic milled white pepper toasted vanilla bean banana integrated slightly herbal close
157670,126769,Austria,Südsteiermark,Gross,Sauvignon Blanc,91,grassy overtones nettle elderflower joined rounder yeastier palate softer toned texture counters greenish beautifully interplay poles enlivened citrus makes great appetizing drinking finishes lemony zing
247708,16807,Italy,Tuscany,Piazzano,Syrah,88,shows soft velvety personality loads blackberry cherry liqueur leather exotic spice dark chocolate complete picture giving generous personality
146803,115902,US,Washington,Fidelitas,Cabernet Sauvignon,91,vineyard sited near winery supple balanced evenly detailed wines fidélitas lightly muscled compact bring cherry cassis plum together strong minerality providing subtext suggestion smoke suffuses
119613,188712,New Zealand,Marlborough,Saint Clair,Pinot Noir,89,soft easygoing pinot noir boasts plenty cherry accented herbal scents button mushrooms forest floor silky long now–
229200,248299,US,Washington,Covington,Red Blend,85,soft slightly oxidized generic pleasantly quaffable marked bitter toast
207839,226938,Spain,Catalonia,Mas La Mola,Red Blend,87,smells rubbery like tire berry plum aromas settle in—although remains like pastic scent feels tight balanced pushing plum strawberry mineral crisp juicy acidic weighty
268548,37647,US,California,Gary Farrell,Chardonnay,94,single vineyard chard grown westside road heart northern valley pinot country elaborated high showing tiers tart green apple kaffir lime pear smoky champagne like lees brioche great hold
80498,99597,Austria,Burgenland,Meinklang,Pinot Noir,92,floral palate deep concentrated core forest tartness wild cranberry alluring wild raspberry darker overtones bilberry framed brooding aspects kind chiaroscuro dialogue intrigues best wait longer since real pleasure elegance awaits
92338,161437,US,California,Bright Angel WInes,Chardonnay,89,named trail grand canyon napa made bottling shows japanese pear cracked vanilla candy complex offers ample amounts minerality slate chalk palate followed smoked stone middle pencil lead elements toward
212228,231327,Australia,Australia Other,Kilda,Chardonnay,84,inexpensive offers unusually intense pineapple citrus balance sweet sour turning crisp
121655,190754,New Zealand,Marlborough,Whitehaven,Pinot Noir,86,boasts russian river pinot like cola cherries picks vanilla tart cherries carried soft creamy turns crisp imported gallo
106673,175772,Chile,Puente Alto,Concha y Toro,Cabernet Sauvignon,90,opening dense spice violet toast aromas functions invitation plump chunky balanced cabernet sauvignon palate bears boysenberry blackberry cassis chocolate molasses accents toasty warm now–
201172,220271,US,California,Novy,Red Blend,87,hooray novy producing fine inexpensive putting name proudly instead hiding behind second label crisp totally drinkable pleasant berry cherry spice
136150,105249,Germany,Mosel,S.A. Prüm,Riesling,90,nuances bramble grain lend earthy complexity otherwise deeply fruity riesling lemon lime pierces midpalate cutting layers yellow cherry berry smackingly sweet
248889,17988,US,California,The Calling,Pinot Noir,94,cherry nuanced spice buoy delicately layered medium bodied vineyard designate built robust supported quietly thread white pepper persists throughout making especially irresistible
195239,214338,US,California,Envy,Sauvignon Blanc,91,complex sauvignon blanc worth price taste lees influences buttermilk cream smokiness lemon lime white peach really star
60933,80032,France,Bordeaux,Château Haut-Simard,Bordeaux-style Red Blend,92,soft fine tannic driven full bright smooth touch smokiness wood aging produced small parcel simard vineyard fine elegant tannic structure
187958,207057,France,Burgundy,Chanson Père et Fils,Pinot Noir,93,dark wood laden sweet firm dense structure full feel opulence likely develop
141662,110761,US,Oregon,Seven of Hearts,Chardonnay,84,single vineyard offering almost transparent thin runs quickly buttery
104292,173391,US,Washington,Murphy's Law,Red Blend,88,david reilly owen winemaker outlook vineyard provided grapes reilly makes large number interesting blends labels offering local company smooth supple loaded blueberry plum cassis
25292,275292,US,Washington,Seven Hills,Merlot,89,like walla walla wines sourced different vineyards case grapes came cold creek canoe ridge dubrul artz fine group indeed slip quality added richness darker fruits previous vintage blackberry purée laced coffee liqueur dominates open accessible thoroughly enjoyable balanced showing youthful freshness clean softly seductive style
46272,65371,US,California,Bogle,Cabernet Sauvignon,84,sharp simple price everyday gets tannic blackberry
166154,135253,US,Washington,Zero One Vintners,Sauvignon Blanc,84,aromas recall overripe pear pineapple grass mineral lightly tropical dilute backed green apple like
33672,52771,US,California,Rare,Red Blend,86,fruity spicy medium full bodied smooth texture concentrated cherry blueberry sense layering length
